Story Heading,Story Excerpt,Section,Date,Source
Price of petrol raised by Rs2.61 per litre kerosene by Rs3.10,Apart from consumer fuel the prices of aircraft fuel have also been raised.,Pakistan,1-1-2020,dawn
Price of petrol raised by Rs2.61 per litre kerosene by Rs3.10,Apart from consumer fuel the prices of aircraft fuel have also been raised.,Pakistan,1-1-2020,dawn
Nadra sets up desks to register transgender persons for health cards,"""All transgender persons can avail health facilities under the Sehat Sahulat Programme"" says PM's aide.",Pakistan,1-1-2020,dawn
Nadra sets up desks to register transgender persons for health cards,"""All transgender persons can avail health facilities under the Sehat Sahulat Programme"" says PM's aide.",Pakistan,1-1-2020,dawn
Govt seeks consensus on new NAB law,ISLAMABAD: As the sessions of the Senate and National Assembly have been convened...,Pakistan,1-1-2020,dawn
Govt seeks consensus on new NAB law,ISLAMABAD: As the sessions of the Senate and National Assembly have been convened...,Pakistan,1-1-2020,dawn
Rules change may end deadlock on ECP slots,Rules made in 2011 are not binding on existing parliamentary committee observes IHC chief justice.,Pakistan,1-1-2020,dawn
Rules change may end deadlock on ECP slots,Rules made in 2011 are not binding on existing parliamentary committee observes IHC chief justice.,Pakistan,1-1-2020,dawn
PM’s aide directs FBR to raise revenue collection,Says each dollar not earned by the revenue authority will have to be borrowed.,Pakistan,2-1-2020,dawn
PM’s aide directs FBR to raise revenue collection,Says each dollar not earned by the revenue authority will have to be borrowed.,Pakistan,2-1-2020,dawn
Opposition blasts minister in NA over gas shortage across country,Omar Ayub blames PPP PML-N govts for doing nothing for exploration over 10 years,Pakistan,2-1-2020,dawn
Opposition blasts minister in NA over gas shortage across country,Omar Ayub blames PPP PML-N govts for doing nothing for exploration over 10 years,Pakistan,2-1-2020,dawn
Abu Dhabi prince due in Islamabad after countryside hunting trip,ISLAMABAD: Crown Prince of Abu Dhabi Moha­m­med bin Zayed Al Nahyan will visit Islamabad on Thursday on his way...,Pakistan,2-1-2020,dawn
Abu Dhabi prince due in Islamabad after countryside hunting trip,ISLAMABAD: Crown Prince of Abu Dhabi Moha­m­med bin Zayed Al Nahyan will visit Islamabad on Thursday on his way...,Pakistan,2-1-2020,dawn
Cabinet rushes out draft bill on COAS extension,Decides to table bill in parliament tomorrow after consulting the opposition on the matter.,Pakistan,2-1-2020,dawn
Cabinet rushes out draft bill on COAS extension,Decides to table bill in parliament tomorrow after consulting the opposition on the matter.,Pakistan,2-1-2020,dawn
Govt may accept Etisalat offer to settle dues row,The UAE telecom firm is offering $275m against $800m proceeds of the sale of PTCL outstanding for more than 13 years.,Pakistan,3-1-2020,dawn
Govt may accept Etisalat offer to settle dues row,The UAE telecom firm is offering $275m against $800m proceeds of the sale of PTCL outstanding for more than 13 years.,Pakistan,3-1-2020,dawn
Law changed to save officials from NAB clutches: Imran,PM says opposition is criticising amendments to NAO without going through them,Pakistan,3-1-2020,dawn
Law changed to save officials from NAB clutches: Imran,PM says opposition is criticising amendments to NAO without going through them,Pakistan,3-1-2020,dawn
Rare political accord on changes to Army Act,The PML-N extends unconditional support while the PPP cautions the govt against haste in the matter.,Pakistan,3-1-2020,dawn
Rare political accord on changes to Army Act,The PML-N extends unconditional support while the PPP cautions the govt against haste in the matter.,Pakistan,3-1-2020,dawn
UAE urged to strengthen economic ties with Pakistan,ISLAMABAD: Prime Minister Imran Khan on Thursday urged the United Arab Emirates (UAE) to strengthen its economic ...,Pakistan,3-1-2020,dawn
UAE urged to strengthen economic ties with Pakistan,ISLAMABAD: Prime Minister Imran Khan on Thursday urged the United Arab Emirates (UAE) to strengthen its economic ...,Pakistan,3-1-2020,dawn
Polio tally for 2019 rises to 123 cases,Five new cases reported in Khyber Pakhtunkhwa while one reported in Sindh.,Pakistan,3-1-2020,dawn
Polio tally for 2019 rises to 123 cases,Five new cases reported in Khyber Pakhtunkhwa while one reported in Sindh.,Pakistan,3-1-2020,dawn
Job creation development are govt priorities: PM,Imran performs groundbreaking ceremony of industrial city in Faisalabad inaugurates shelter home.,Pakistan,4-1-2020,dawn
Job creation development are govt priorities: PM,Imran performs groundbreaking ceremony of industrial city in Faisalabad inaugurates shelter home.,Pakistan,4-1-2020,dawn
ME on knife-edge as US kills Iran’s feared general,Khamenei promises ‘severe revenge’; Iraqi PM terms attack ‘flagrant violation’ of security accord with US,Pakistan,4-1-2020,dawn
ME on knife-edge as US kills Iran’s feared general,Khamenei promises ‘severe revenge’; Iraqi PM terms attack ‘flagrant violation’ of security accord with US,Pakistan,4-1-2020,dawn
IHC frames questions over scope of president’s powers,IHC Chief Justice directs the law and justice secretary to ensure that written comments are filed within a fortnight.,Pakistan,4-1-2020,dawn
IHC frames questions over scope of president’s powers,IHC Chief Justice directs the law and justice secretary to ensure that written comments are filed within a fortnight.,Pakistan,4-1-2020,dawn
NA panel approves key bills with unusual haste,ISLAMABAD: The Nat­ional Assembly’s standing committee on defence on Friday passed the...,Pakistan,4-1-2020,dawn
NA panel approves key bills with unusual haste,ISLAMABAD: The Nat­ional Assembly’s standing committee on defence on Friday passed the...,Pakistan,4-1-2020,dawn
Fury tears as Iraqis mourn Iranian commander’s killing,Response to a military action is a military action says Iran’s envoy to UN; Two rockets slam into a base housing US...,Pakistan,5-1-2020,dawn
Fury tears as Iraqis mourn Iranian commander’s killing,Response to a military action is a military action says Iran’s envoy to UN; Two rockets slam into a base housing US...,Pakistan,5-1-2020,dawn
PM wants Punjab police reforms on KP pattern,Inaugurates model police station in Mianwali,Pakistan,5-1-2020,dawn
PM wants Punjab police reforms on KP pattern,Inaugurates model police station in Mianwali,Pakistan,5-1-2020,dawn
Decline in imports behind massive revenue loss: FBR,Tax body admits half-yearly collection target missed by Rs114bn.,Pakistan,5-1-2020,dawn
Decline in imports behind massive revenue loss: FBR,Tax body admits half-yearly collection target missed by Rs114bn.,Pakistan,5-1-2020,dawn
US Congress allows revival of mly training for Pakistan,However Trump administration’s overall security assistance suspension remains in effect,Pakistan,5-1-2020,dawn
US Congress allows revival of mly training for Pakistan,However Trump administration’s overall security assistance suspension remains in effect,Pakistan,5-1-2020,dawn
Polio cases for 2019 still surfacing tally rises to 128,Two cases each were reported from Sindh and Balochistan and one from KP.,Pakistan,5-1-2020,dawn
