Story Heading,Story Excerpt,Section,Date,Source
Chinese national held for beating traffic police constable in Karachi,The suspect assaulted the constable after he prevented the former from parking his car in a no-parking zone: police.,Pakistan,1-1-2020,all
Sarmad Khoosat reveals why Zindagi Tamasha's trailer was removed from YouTube,We also have a release date.,Pakistan,2-1-2020,all
PSL 2020 set to begin on February 20,Of the total 34 matches 14 will take place in Lahore nine in Karachi eight in Rawalpindi and three in Multan.,Sport,2-1-2020,all
Despite extreme differences Centre willing to work with Sindh to benefit citizens: Asad Umar,Says meeting on Centre's projects in Karachi finds progress has improved but difficulties still remain.,Pakistan,1-1-2020,all
‘New-year euphoria’ pushes stocks in the green as KSE-100 closes 664 points up,Analysts attribute rise to new year’s “euphoria” coupled with a positive economic outlook in the medium to long term.,Business,1-1-2020,all
An Islamabad Police parody account is trolling Pakistanis on Twitter,Not going to lie we're more invested than ever in Islamabad because of this very funny albeit fake account,Pakistan,1-1-2020,all
Temperature in Karachi drops to season's lowest on first day of new year,Temperature may drop as low as eight degrees Celsius in the coming days says Met department official.,Pakistan,1-1-2020,all
Smoke could affect play in 3rd Test at Sydney Cricket Ground,Air quality has been a regular concern for Sydney residents in recent weeks.,Sport,1-1-2020,all
Nasty divorce rumours about Syra-Shahroz point out celebs have the right to a personal life too,“Social media should be the first to apologise for ‘breaking’ the news” wrote Anoushey Ashraf on Instagram.,Pakistan,1-1-2020,all
Swat's snowy peaks a winter treat for tourists,In winter the scenic valley transforms into a white wonderland offering tourists multiple opportunities for adventure.,Pakistan,1-1-2020,all
PIA chief stopped from working after petition challenges his appointment,SHC issues notices to Air Marsal Arshad Malik and federal govt for Jan 22.,Pakistan,1-1-2020,all
What does Pakistani fashion hold in store for 2020?,Fashion in Pakistan has always been a rollercoaster ride but in 2019 it slowed down becoming more of a chugging train.,Pakistan,1-1-2020,all
Justice Mamoon Rashid Sheikh sworn in as 49th chief justice of Lahore High Court,Punjab Governor Chaudhry Mohammad Sarwar administered oath to Justice Sheikh at a ceremony held at Governor House Lahore,Pakistan,1-1-2020,all
Return of Test cricket overshadows Pakistan’s misfortunes in 2019,If anything the year gone by can be portrayed as a mixed bag of everything for Pakistan cricket.,Sport,1-1-2020,all
Uncertainty on several if not all fronts was the hallmark of governance in Pakistan through 2019,The good moments in politics in Pakistan are just that — moments.,Pakistan,1-1-2020,all
Newsmakers: When India went bonkers,IT was a year when India by its own standards went bonkers. From revocation of Article 370 to Citizenship (Amendment),Sp Supplements,1-1-2020,all
Cover Story: Change or continuity,The good moments in politics in Pakistan are just that — moments.,Sp Supplements,1-1-2020,all
2020 will be a test of the government’s decisiveness regarding the economy,Will the govt walk the critical walk in 2020?,Business,1-1-2020,all
Triumph of Greed,Bahria's modus operandi has been the elephant in the room for a long time even though its activities were no secret.,Sp Supplements,2-1-2020,all
National: Cornered but not quite,COURTS parliament hospitals tentative agreements accusations of last-minute betrayal – yet it is moot if 2019...,Sp Supplements,1-1-2020,all
A Dysfunctional ECP,THIS was a happening year. Indeed it was. But under the debris of all the important economic and political...,Sp Supplements,1-1-2020,all
Judiciary: Treason now accountable,AT last a conviction for high treason has been recorded and hopefully Article 6 of the Constitution can no longer...,Sp Supplements,1-1-2020,all
Economy: Talking the big talk,Will the govt walk the critical walk in 2020?,Sp Supplements,1-1-2020,all
Mideast: Turmoil turbulence travails,THE death of two men starkly opposite in character and America’s abject surrender once again to Zionist power...,Sp Supplements,1-1-2020,all
Editorial: As Pakistan enters 2020 with cautious hope PM Imran will need to shed the 'container syndrome',At the start of this new year let us all and not just the government embrace the coming decade with an open mind.,Pakistan,1-1-2020,all
Pakistan's decade to nowhere,Rising authoritarianism is undermining democratic political culture and basic rights in Pakistan.,Pakistan,1-1-2020,all
Biggest urbanisation in history under way says study,The United Nations expects 70 per cent of people globally to be living in urban areas by 2050.,Newspaper,1-1-2020,all
India to restore text messaging services in occupied Kashmir,Official says internet services in govt hospitals will also be restored while curbs on broadband internet will remain.,Newspaper,1-1-2020,all
Tribal clashes claim 24 lives in Sudan,Rebel groups have suspended peace talks with the govt in response to the tribal clashes and called for an investigation.,Newspaper,1-1-2020,all
Abducted journalist’s wife accuses Sri Lankan army of derailing case,Says officers serving in the military intelligence are trying to destroy evidence intimidate witnesses.,Newspaper,1-1-2020,all
Change of rules may end deadlock on ECP slots,Rules made in 2011 are not binding on existing parliamentary committee observes IHC chief justice.,Pakistan,1-1-2020,all
Uber sues California over gig economy labour law,The legislation known as Assembly Bill 5 is due to go into effect on Wednesday.,Newspaper,1-1-2020,all
Rupee suffers hard against all major currencies,The biggest appreciation seen in the British pound which gained over 15 per cent.,Newspaper,1-1-2020,all
2019: a good year for gold,The one tola and 10 gram rates on Dec 31 were quoted at Rs88400 and Rs75790 based on world price of $1522 per ounce.,Newspaper,1-1-2020,all
Six-month revenue collection shortfall rises to Rs287bn,Tax return filing date extended till Jan 31 2020.,Newspaper,1-1-2020,all
Stocks lose 152 points in directionless trade,KSE-100 index closes down by 152.55 points (0.37 per cent) at 40735.08.,Newspaper,1-1-2020,all
PSX returns to positive territory,Pakistani stocks managed to eke out a positive return of 10pc in 2019.,Newspaper,1-1-2020,all
Lack of LEAs’ support hampers efforts to prevent sale of fake drugs in KP,Perpetrators often remain unpunished due to which the business of counterfeit medicines continues unabated.,Pakistan,1-1-2020,all
Sindh chief minister raises burning issues in letter to PM,Expresses concern over halt in funds for critical health projects gas shortage in the province and water distribution .,Pakistan,1-1-2020,all
Indian violations claimed 59 lives along LoC in 2019,Shelling also wreaked havoc on civilian properties and damaged public sector facilities says official.,Pakistan,1-1-2020,all
Govt defends establishment of CPEC Authority,"Opposition terms setting up the authority through a presidential ordinance an ""illegal"" move.",Pakistan,1-1-2020,all
WB-funded literacy programme to be launched in Punjab Sindh,Project will also support continuous training for tutors principals and community groups to ensure quality teaching.,Pakistan,1-1-2020,all
Two MPAs of Balochistan Awami Party unseated by election tribunal,Tribunal also asks the ECP to de-notify the notifications for the election victory of the two MPAs.,Pakistan,1-1-2020,all
PHC stops FBR from acting against textile mills,Mills challenge the retrospective application of reduction in tax credit from 10 per cent to 5pc for industrial units.,Pakistan,1-1-2020,all
Price of petrol raised by Rs2.61 per litre kerosene by Rs3.10,Apart from consumer fuel the prices of aircraft fuel have also been raised.,Newspaper,1-1-2020,all
Nadra sets up desks to register transgender persons for health cards,"""All transgender persons can avail health facilities under the Sehat Sahulat Programme"" says PM's aide.",Pakistan,1-1-2020,all
